COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Fiji,FJI,WPRO,REPORTING,08/09/2022,1538912,709581,171.668,79.155,638187,71.191,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield",07/03/2021,3,165236,18.432
Finland,FIN,EURO,REPORTING,18/09/2022,12847919,4541521,232.5,82.195,4356575,78.848,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",23/12/2020,5,3047415,55.154
France,FRA,EURO,REPORTING,18/09/2022,153340653,54562129,227.8,81.049,53049459,78.802,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",30/12/2020,6,40641235,60.37
French Guiana,GUF,AMRO,REPORTING,16/09/2022,236724,99479,79.256,33.306,90213,30.204,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",13/01/2021,2,45179,15.126
French Polynesia,PYF,WPRO,REPORTING,31/07/2022,460803,188245,164.041,67.013,183649,65.377,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",18/01/2021,2,88909,31.651
Gabon,GAB,AFRO,REPORTING,18/09/2022,569829,310579,25.602,13.954,257257,11.558,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",23/03/2021,3,,
Gambia,GMB,AFRO,REPORTING,07/08/2022,815861,452514,33.76,18.725,357390,14.789,"Beijing CNBG - BBIBP-CorV,SII - Covishield",10/03/2021,2,,
Georgia,GEO,EURO,REPORTING,18/09/2022,2718171,1292672,68.1,32.404,1177900,29.527,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",17/03/2021,4,247599,6.207
Germany,DEU,EURO,REPORTING,18/09/2022,185144577,64775678,222.6,77.887,64858691,77.986,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",23/12/2020,6,51654561,62.11
Ghana,GHA,AFRO,REPORTING,18/09/2022,19340804,11471547,62.243,36.918,8361840,26.91,"Gamaleya - Gam-Covid-Vac,SII - Covishield",02/03/2021,2,,
Gibraltar,GIB,EURO,OWID,21/04/2022,119855,42074,355.748,124.882,41421,122.944,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2,36360,107.922
Greece,GRC,EURO,REPORTING,18/09/2022,21448847,7909097,200.1,73.789,7732016,72.137,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",23/12/2020,5,5860319,54.674
Greenland,GRL,EURO,OWID,07/03/2022,79745,41243,140.465,72.647,38502,67.819,Moderna - mRNA-1273,,1,,
Grenada,GRD,AMRO,REPORTING,16/09/2022,90138,44050,80.106,39.148,38836,34.514,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",15/02/2021,4,7252,6.445
Guadeloupe,GLP,AMRO,REPORTING,16/09/2022,385712,150077,96.398,37.508,144196,36.038,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",08/01/2021,7,86650,21.656
Guam,GUM,WPRO,REPORTING,23/08/2022,368088,155225,218.094,91.972,141014,83.551,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",04/01/2021,3,72131,42.738
Guatemala,GTM,AMRO,REPORTING,16/09/2022,19553871,8758252,109.145,48.886,6870081,38.347,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",25/02/2021,5,3495539,19.511
Guernsey,GGY,EURO,OWID,12/07/2022,157708,,244.63,,,,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3,,
Guinea,GIN,AFRO,REPORTING,18/09/2022,7472471,5137173,56.899,39.117,2894177,22.038,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",05/03/2021,6,,
Guinea-Bissau,GNB,AFRO,REPORTING,18/09/2022,673091,640393,34.202,32.54,404228,20.54,"Beijing CNBG - BBIBP-CorV,SII - Covishield",02/04/2021,2,,
Guyana,GUY,AMRO,REPORTING,16/09/2022,939589,490230,119.457,62.326,376266,47.837,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",11/02/2021,7,73093,9.293
Haiti,HTI,AMRO,REPORTING,16/09/2022,470964,361212,4.13,3.168,222303,1.95,"Janssen - Ad26.COV 2-S,Moderna - Spikevax",,2,,
Honduras,HND,AMRO,REPORTING,16/09/2022,15527895,6325371,156.774,63.863,5599626,56.536,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",22/02/2021,6,3603273,36.38
Hungary,HUN,EURO,REPORTING,18/09/2022,16469299,6353515,168.6,65.034,6146794,62.918,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",23/12/2020,7,3859059,39.501
Iceland,ISL,EURO,REPORTING,28/08/2022,828071,307001,227.4,84.31,297551,81.715,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30/12/2020,4,252270,69.279
India,IND,SEARO,REPORTING,27/09/2022,2179427825,1024660313,157.929,74.251,948037652,68.698,"Bharat - Covaxin,Biological E - Corbevax,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,SII - Covishield,SII - Covovax,Zydus - ZyCov-D",16/01/2021,8,206729860,14.98
